id,price
18186,80397.0
24465,19000.0
24469,29000.0
24470,16000.0
24473,31995.0
24477,31000.0
24478,50601.0
24479,37206.0
24481,20000.0
24487,29894.0
24491,46612.0
24493,32707.0
24495,37780.0
24500,32836.0
24501,32883.0
24502,33952.0
24504,29000.0
24505,29147.0
24509,17000.0
24510,20000.0
43824,24516.0
63797,17000.0
63805,20500.0
63806,20500.0
63807,39094.0
63809,30000.0
120976,25000.0
126494,19500.0
143965,24586.0
144028,28467.0
160946,56397.0
160947,56397.0
160955,32928.0
177755,29624.0
180197,32301.0
180198,32301.0
180199,49563.0
180204,32782.0
180208,30527.0
182583,26326.0
182585,26050.0
182595,37647.0
182602,29783.0
195340,28156.0
201925,29169.0
214341,24443.0
226560,29989.0
233510,27602.0
233511,36887.0
237508,16000.0
260231,29409.0
260234,27779.0
274481,27796.0
283991,47324.0
283995,302937.0
284001,41438.0
293222,16000.0
300684,31231.0
300685,30181.0
302972,16000.0
315192,27393.0
327700,32074.0
327705,32466.0
327706,32466.0
330362,35950.0
405777,29503.0
405783,28911.0
417959,25442.0
417960,30010.0
417964,22698.0
417965,24577.0
467425,34612.0
477906,16000.0
516102,26133.0
524657,16000.0
524666,29190.0
524667,26835.0
557901,27670.0
557902,29542.0
557905,26886.0
557907,28866.0
594352,32144.0
595361,27102.0
595362,27102.0
595363,20500.0
595364,20500.0
595365,30000.0
955950,31221.0
955951,32393.0
287176,1108544.0
64597,421786.0
332336,973827.0
13567,489250.0
25431,646436.0
34755,540000.0
64598,818228.0
123333,255395.0
123334,685000.0
123370,650000.0
127584,676041.0
170931,1311831.0
176518,366100.0
176519,424166.0
176614,1227126.0
176682,1448833.0
176683,1360357.0
176709,3300007.0
176710,1580759.0
176711,1602882.0
181564,1202922.0
188774,2400000.0
200458,196305.0
202283,600000.0
215976,255395.0
216034,568022.0
216131,3300000.0
238608,350909.0
260548,222823.0
287177,1163982.0
287791,1202922.0
328317,480747.0
331595,340000.0
331599,340000.0
332329,973827.0
332332,1300000.0
332334,973827.0
332338,973827.0
332344,973827.0
332792,888601.0
332793,677144.0
332969,3300000.0
379979,237184.0
381876,650000.0
381877,680000.0
406377,358724.0
413294,1245506.0
419038,737496.0
478694,1202922.0
491079,600000.0
491202,1200000.0
491204,1000000.0
491206,1250000.0
558433,472527.0
558651,1250000.0
558652,1000000.0
558656,1200000.0
558826,1161328.0
696935,385151.0
696936,385151.0
743189,340327.0
899389,490000.0
956259,980000.0
960232,1202922.0
192912,235500.0
238224,168832.0
127418,183000.0
476380,139887.0
476373,135000.0
121889,236744.0
442705,109048.0
570477,108900.0
190415,88000.0
960153,220000.0
192962,205000.0
272373,116755.0
331484,83303.0
516425,190000.0
331246,93364.0
238012,230490.0
331721,131721.0
200737,155000.0
32111,61000.0
30820,146000.0
34661,98000.0
175362,222701.0
315860,178826.0
491172,215681.0
418089,347095.0
196008,240001.0
176486,134549.0
381656,195000.0
190847,112001.0
36013,129000.0
346688,160000.0
64118,150000.0
227528,160000.0
25373,146152.0
475869,107000.0
379963,105573.0
309712,87000.0
315620,136923.0
121442,138813.0
525382,205000.0
413535,282529.0
180667,210140.0
29763,158001.0
256021,220000.0
595719,215000.0
18323,241103.0
32095,220573.0
238584,220178.0
286929,209988.0
230254,199000.0
18751,265000.0
331615,124500.0
261052,196918.0
11237,179339.0
331489,145000.0
61262,205000.0
107474,250000.0
418083,246779.0
216015,248666.0
44636,182453.0
13981,195722.0
34633,110099.0
180704,116886.0
558641,145000.0
558593,270000.0
107332,185379.0
227307,169000.0
287043,119389.0
405980,126744.0
516453,203000.0
195762,99000.0
960190,190000.0
122532,141258.0
217192,164000.0
261106,133237.0
190799,189001.0
35956,155400.0
331478,162605.0
34595,182660.0
418454,94000.0
516343,157368.0
303486,110748.0
161225,232937.0
475900,90000.0
44587,250000.0
413848,190000.0
413885,128419.0
381641,169000.0
958106,270845.0
516296,160000.0
406722,181069.0
13982,267346.0
238579,183000.0
309643,185000.0
346283,80000.0
195699,168762.0
332058,219842.0
36168,217612.0
543594,158000.0
558644,289912.0
516334,67000.0
116016,103056.0
468052,203000.0
419007,265000.0
312018,244666.0
44652,254169.0
255992,242905.0
11233,98000.0
346778,126489.0
25399,389105.0
61250,90000.0
200694,135000.0
178561,170000.0
272829,201660.0
558349,178273.0
309706,115305.0
